,x_0,y_0,seed,learning_rate,minimizer,n_iter,did_converge,distance
186,-1.191788405168841,-1.4281066232905304,1002,0.001,RMSProp,1375,True,0.07045539
187,-1.191788405168841,-1.4281066232905304,1002,0.001,SGD,750,True,0.070674755
188,-1.191788405168841,-1.4281066232905304,1002,0.001,ADAM,2657,True,0.03707868
189,-3.122426317313666,-2.432941897811779,1003,0.001,RMSProp,3153,True,0.009668823
190,-3.122426317313666,-2.432941897811779,1003,0.001,SGD,883,True,0.07065247
191,-3.122426317313666,-2.432941897811779,1003,0.001,ADAM,5973,True,0.009993527
192,-4.99119547259285,-3.6984868787236858,1004,0.001,RMSProp,5026,True,0.009658946
193,-4.99119547259285,-3.6984868787236858,1004,0.001,SGD,988,True,0.0705099
194,-4.99119547259285,-3.6984868787236858,1004,0.001,ADAM,8509,True,0.009975005
195,-4.177808269321063,4.305620423886037,1005,0.001,RMSProp,4263,True,0.06998295
196,-4.177808269321063,4.305620423886037,1005,0.001,SGD,1026,True,0.070488274
197,-4.177808269321063,4.305620423886037,1005,0.001,ADAM,7461,True,0.018135129
198,-1.6307856642717553,1.008569437996548,1006,0.001,RMSProp,1655,True,0.009947678
199,-1.6307856642717553,1.008569437996548,1006,0.001,SGD,664,True,0.07045414
200,-1.6307856642717553,1.008569437996548,1006,0.001,ADAM,3493,True,0.009973773
201,-4.287750625391142,3.159803451779432,1007,0.001,RMSProp,4321,True,0.009765614
202,-4.287750625391142,3.159803451779432,1007,0.001,SGD,949,True,0.070432365
203,-4.287750625391142,3.159803451779432,1007,0.001,ADAM,7598,True,0.009991047
204,-3.3274725094538127,3.130507477287791,1008,0.001,RMSProp,3359,True,0.009454509
205,-3.3274725094538127,3.130507477287791,1008,0.001,SGD,946,True,0.07062334
206,-3.3274725094538127,3.130507477287791,1008,0.001,ADAM,6274,True,0.010797137
207,-4.434995379465607,-1.7308441232713823,1009,0.001,RMSProp,4469,True,0.009498638
208,-4.434995379465607,-1.7308441232713823,1009,0.001,SGD,798,True,0.07066582
209,-4.434995379465607,-1.7308441232713823,1009,0.001,ADAM,7792,True,0.009991794
210,-4.050077170384277,0.35805731236843563,1010,0.001,RMSProp,4083,True,0.00966861
211,-4.050077170384277,0.35805731236843563,1010,0.001,SGD,405,True,0.07062924
212,-4.050077170384277,0.35805731236843563,1010,0.001,ADAM,7280,True,0.009999692
213,-2.158751596495634,0.6332353550939551,1011,0.001,RMSProp,2186,True,0.0096620815
214,-2.158751596495634,0.6332353550939551,1011,0.001,SGD,547,True,0.070700675
